Timestamps,AWS/EC2 NetworkIn,AWS/EC2 NetworkOut,System/Linux MemoryUtilization,AWS/EC2 CPUUtilization
2019-10-04 14:00:00+00:00,3916.0,3872.0,0,0.166666666667273
2019-10-04 14:05:00+00:00,3180.0,4041.0,0,0.163934426230105
2019-10-04 14:10:00+00:00,4593.0,9294.0,0,0.166666666667273
2019-10-04 14:15:00+00:00,3382.0,4693.0,0,0.0
2019-10-04 14:20:00+00:00,3372.0,10698.0,0,0.166666666665757
2019-10-04 14:25:00+00:00,3118.0,2533.0,0,0.166666666667273
2019-10-04 14:30:00+00:00,2202.0,9289.0,0,0.0
2019-10-04 14:35:00+00:00,2496.0,9317.0,0,0.166666666667273
2019-10-04 14:40:00+00:00,2658.0,8611.0,0,0.163934426228614
2019-10-04 14:45:00+00:00,2258.0,9289.0,0,0.0
2019-10-04 14:50:00+00:00,3034.0,5945.0,0,0.166666666667273
2019-10-04 14:55:00+00:00,3100.0,5893.0,0,0.0
2019-10-04 15:00:00+00:00,1629.0,2257.0,0,0.166666666665757
2019-10-04 15:05:00+00:00,3168.0,9566.0,0,0.0
2019-10-04 15:10:00+00:00,3034.0,2285.0,0,0.169491525424345
2019-10-04 15:15:00+00:00,2310.0,8185.0,0,0.0
2019-10-04 15:20:00+00:00,5413.0,5095.0,0,0.169491525424345
2019-10-04 15:25:00+00:00,2638.0,3289.0,0,0.166666666665757
2019-10-04 15:30:00+00:00,2258.0,9164.0,0,0.0
2019-10-04 15:35:00+00:00,2314.0,8213.0,0,0.166666666667273
2019-10-04 15:40:00+00:00,2564.0,4357.0,0,0.0
2019-10-04 15:45:00+00:00,3180.0,9317.0,0,0.166666666665757
2019-10-04 15:50:00+00:00,4538.0,3822.0,0,0.166666666667273
2019-10-04 15:55:00+00:00,3898.0,2173.0,0,0.0
2019-10-04 16:00:00+00:00,3715.0,8157.0,0,0.161290322581232
2019-10-04 16:05:00+00:00,3034.0,3807.0,0,0.169491525422804
2019-10-04 16:10:00+00:00,2202.0,7025.0,0,0.0
2019-10-04 16:15:00+00:00,3574.0,2117.0,0,0.166666666667273
2019-10-04 16:20:00+00:00,3651.0,7025.0,0,0.0
2019-10-04 16:25:00+00:00,3090.0,4545.0,0,0.163934426228614
2019-10-04 16:30:00+00:00,3034.0,7025.0,0,0.169491525424345
2019-10-04 16:35:00+00:00,2031.0,2320.0,0,0.0
2019-10-04 16:40:00+00:00,3034.0,8414.0,0,0.166666666667273
2019-10-04 16:45:00+00:00,3034.0,8157.0,0,0.0
2019-10-04 16:50:00+00:00,2202.0,8157.0,0,0.169491525422804
2019-10-04 16:55:00+00:00,3034.0,2173.0,0,0.166666666667273
2019-10-04 17:00:00+00:00,20314.0,10126.0,0,0.0
2019-10-04 17:05:00+00:00,3088.0,9317.0,0,0.163934426228614
2019-10-04 17:10:00+00:00,4041.0,9802.0,0,0.166666666667273
2019-10-04 17:15:00+00:00,2314.0,9317.0,0,0.0
2019-10-04 17:20:00+00:00,3180.0,3096.0,0,0.169491525424345
2019-10-04 17:25:00+00:00,3034.0,8157.0,0,0.0
2019-10-04 17:30:00+00:00,3034.0,8157.0,0,0.163934426228614
